ID,Destination,Accessibility,Cost(IDR),Attractions,Safety,Accommodation,Cultural
122,Gili Trawangan,9,1.900.000,3,1,7,1
123,Kepulauan Seribu,8,1.600.000,3,3,6,8
124,Pulau Weh,7,600.000,9,8,5,1
125,Wakatobi,1,1.800.000,6,8,1,9
126,Safari Beach Jateng,9,600.000,9,7,4,2
127,Taman Mini,3,700.000,3,4,9,1
128,Air Terjun Sipisopiso,6,600.000,3,1,10,7
129,Candi Prambanan,9,1.200.000,2,3,10,1
130,Hutan Pinus Mangunan,3,800.000,10,10,4,10
131,Pantai Pink,4,300.000,7,8,9,4
132,Museum Angkut,3,300.000,1,4,2,4
133,Pantai Balekambang,7,400.000,2,6,3,1
134,Kawah Ijen,8,1.600.000,5,2,7,7
135,Pantai Tanjung Tinggi,5,900.000,5,7,6,1
136,Pantai Teluk Asmara,8,800.000,9,3,5,8
137,Danau Toba,5,700.000,4,5,6,6
138,Air Terjun Sipisopiso,8,1.800.000,7,4,8,10
139,Tebing Breksi,9,1.200.000,10,2,10,10
140,Pulau Weh,10,400.000,9,9,8,10
141,Pantai Balekambang,1,400.000,2,4,8,9
142,Candi Prambanan,7,1.600.000,6,8,2,3
143,Nusa Penida,10,1.300.000,1,2,10,4
144,Gili Trawangan,9,1.200.000,3,10,8,6
145,Kawah Ijen,10,700.000,10,10,6,9
146,Pantai Balekambang,7,900.000,2,9,7,3
147,Pulau Komodo,1,1.600.000,6,7,7,3
148,Tangkuban Perahu,8,1.100.000,4,10,2,6
149,Candi Prambanan,6,800.000,4,8,3,9
150,Kawah Ijen,4,800.000,7,4,9,9
151,Pantai Teluk Asmara,1,1.700.000,6,2,1,6
152,Kawah Ijen,10,1.300.000,6,2,2,9
153,Museum Angkut,5,1.600.000,10,8,7,10
154,Kepulauan Seribu,3,900.000,3,7,9,1
155,Taman Safari,7,1.100.000,7,4,2,2
156,Taman Nasional Ujung Kulon,5,500.000,5,9,10,2
157,Pantai Pink,6,1.400.000,4,3,9,4
158,Candi Prambanan,9,1.700.000,8,5,9,2
159,Wakatobi,1,800.000,10,9,6,6
160,Kampoeng Banyumili,3,1.600.000,8,4,9,10
161,Tanah Lot,4,1.400.000,3,10,2,3
162,Hutan Pinus Mangunan,6,1.800.000,10,4,1,2
163,Candi Borobudur,2,1.800.000,1,3,1,7
164,Air Terjun Sipisopiso,2,1.000.000,7,10,3,6
165,Kebun Raya Bogor,5,1.600.000,6,2,1,3
166,Nusa Penida,8,1.000.000,3,7,2,8
167,Tangkuban Perahu,10,1.300.000,2,2,2,9
168,Dieng Plateau,10,1.300.000,8,6,5,10
169,Kebun Raya Bogor,1,1.800.000,10,5,8,8
170,Pantai Menganti,5,1.700.000,4,9,9,7
171,Candi Borobudur,2,1.400.000,4,8,8,3
172,Danau Toba,1,900.000,8,3,1,8
173,Situ Patenggang,4,700.000,4,8,1,1
174,Tebing Breksi,4,600.000,9,9,9,1
175,Benteng Rotterdam,3,1.500.000,1,3,4,1
176,Candi Borobudur,5,900.000,7,9,2,6
177,Danau Toba,4,1.700.000,6,7,9,3
178,Pulau Derawan,2,1.100.000,5,9,3,4
179,Tebing Breksi,8,700.000,5,4,2,1
180,Pantai Pandawa,9,1.300.000,3,10,5,7
181,Candi Prambanan,3,400.000,2,6,6,4
182,Gili Trawangan,10,700.000,5,4,9,6
183,Pulau Weh,8,400.000,9,9,10,5
184,Taman Nasional Baluran,8,1.300.000,8,4,8,2
185,Pulau Komodo,2,1.800.000,9,8,3,3
186,Pulau Bintan,9,500.000,1,10,4,2
187,Goa Pindul,10,900.000,2,3,7,8
188,Air Terjun Madakaripura,10,700.000,9,4,5,4
189,Gunung Bromo,7,600.000,8,5,5,7
190,Tangkuban Perahu,2,1.700.000,5,1,3,2
191,Curug Cimahi,3,1.300.000,1,6,5,10
192,Pantai Parangtritis,10,1.500.000,10,2,6,4
193,Pulau Bintan,3,1.700.000,3,10,1,7
194,Kampoeng Banyumili,6,800.000,10,1,4,2
195,Papuma Beach,6,1.500.000,9,1,8,4
196,Tebing Breksi,2,400.000,2,8,8,7
197,Taman Nasional Baluran,6,500.000,8,3,4,3
198,Tanah Lot,7,1.400.000,4,8,6,8
199,Papuma Beach,9,600.000,10,5,10,8
200,Pantai Kuta,7,1.500.000,9,5,5,6
